City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Assare,BR,2022-02-03 17:44:41,-6.8744,-39.875,94.21,29,46,7.56
146,Bantry,IE,2022-02-03 17:44:42,51.6833,-9.45,53.55,89,97,21.79
147,Canoa,DO,2022-02-03 17:44:42,18.355,-71.1585,87.51,58,40,11.5
148,Thompson,CA,2022-02-03 17:43:06,55.7435,-97.8558,-20.04,63,20,6.91
149,Lacombe,CA,2022-02-03 17:44:43,52.4668,-113.7353,2.32,100,100,12.66
150,Nikolskoye,RU,2022-02-03 17:40:21,59.7035,30.7861,8.49,100,87,1.9
151,Oistins,BB,2022-02-03 17:43:24,13.0667,-59.5333,82.49,61,40,18.41
152,Santa Marta,CO,2022-02-03 17:44:44,11.2408,-74.199,96.35,68,20,9.22
153,San Lorenzo,PY,2022-02-03 17:44:44,-25.3333,-57.5333,95.94,41,75,5.99
154,Russell,US,2022-02-03 17:44:45,32.3502,-85.1999,67.15,73,100,13.8
155,Airai,TL,2022-02-03 17:44:45,-8.9266,125.4092,60.82,94,99,3.04
156,Bathsheba,BB,2022-02-03 17:44:46,13.2167,-59.5167,83.01,61,40,18.41
157,Butaritari,KI,2022-02-03 17:40:18,3.0707,172.7902,80.65,80,59,12.8
158,Otukpo,NG,2022-02-03 17:44:46,7.1913,8.1329,85.8,13,4,1.77
159,Whyalla,AU,2022-02-03 17:44:47,-33.0333,137.5833,62.49,72,0,12.66
160,Port Macquarie,AU,2022-02-03 17:41:20,-31.4333,152.9167,64.29,94,75,11.5
161,Dunedin,NZ,2022-02-03 17:44:47,-45.8742,170.5036,53.8,89,100,0.87
162,Jeremie,HT,2022-02-03 17:44:48,18.65,-74.1167,79.54,74,12,6.67
163,Aykhal,RU,2022-02-03 17:44:48,66.0,111.5,-21.62,100,51,2.3
164,Novorossiysk,RU,2022-02-03 17:44:49,44.7239,37.7708,39.65,89,100,3.33
165,Torbay,CA,2022-02-03 17:44:49,47.6666,-52.7314,36.57,76,75,19.57
166,Makakilo City,US,2022-02-03 17:44:50,21.3469,-158.0858,70.68,74,0,4.61
167,Georgetown,MY,2022-02-03 17:44:50,5.4112,100.3354,82.33,90,20,5.01
168,Pahrump,US,2022-02-03 17:40:51,36.2083,-115.9839,45.32,23,1,1.99
