City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
199,Matagami,CA,2022-02-05 00:56:27,49.7502,-77.6328,-7.49,64,100,3.44,overcast clouds
200,Ko Samui,TH,2022-02-05 00:56:28,9.5357,99.9357,78.71,89,40,9.22,scattered clouds
201,Lagoa,PT,2022-02-05 00:56:28,39.05,-27.9833,57.96,82,93,21.74,overcast clouds
202,Plettenberg Bay,ZA,2022-02-05 00:56:29,-34.0527,23.3716,62.44,78,0,6.2,clear sky
203,Castro,BR,2022-02-05 00:56:29,-24.7911,-50.0119,65.46,98,80,3.44,broken clouds
204,Porto Santo,PT,2022-02-05 00:56:30,33.072,-16.3415,62.98,88,20,2.3,few clouds
205,Banjarmasin,ID,2022-02-05 00:56:30,-3.3244,114.591,78.94,80,100,0.83,overcast clouds
206,Mlowo,TZ,2022-02-05 00:56:31,-9.0,32.9833,57.61,99,100,1.07,light rain
207,Cabo San Lucas,MX,2022-02-05 00:56:31,22.8909,-109.9124,70.52,63,0,5.28,clear sky
208,Sorong,ID,2022-02-05 00:56:32,-0.8833,131.25,84.13,73,100,15.08,overcast clouds
209,Aloleng,PH,2022-02-05 00:56:33,16.1307,119.7824,79.95,67,76,9.01,broken clouds
210,Rawlins,US,2022-02-05 00:56:33,41.7911,-107.2387,32.22,62,7,21.36,clear sky
211,San Vicente,AR,2022-02-05 00:56:34,-26.6167,-54.1333,68.43,94,11,1.7,moderate rain
212,Yoichi,JP,2022-02-05 00:56:34,43.2039,140.7703,6.84,69,92,10.0,light snow
213,Verkhnetulomskiy,RU,2022-02-05 00:56:35,68.6073,31.7962,12.33,91,100,12.75,light snow
214,Thompson,CA,2022-02-05 00:53:40,55.7435,-97.8558,-18.24,69,20,5.75,few clouds
215,Sumenep,ID,2022-02-05 00:56:35,-7.0167,113.8667,82.17,78,95,7.65,overcast clouds
216,Kodiak,US,2022-02-05 00:55:30,57.79,-152.4072,38.71,81,100,3.44,overcast clouds
217,Chara,RU,2022-02-05 00:56:36,56.9064,118.2631,-14.91,86,91,1.21,overcast clouds
218,Saint-Francois,FR,2022-02-05 00:56:36,46.4154,3.9054,42.67,93,100,8.05,overcast clouds
219,Dunedin,NZ,2022-02-05 00:56:37,-45.8742,170.5036,58.8,51,100,4.0,overcast clouds
220,Labuhan,ID,2022-02-05 00:56:37,-6.8844,112.2051,81.86,77,55,8.52,broken clouds
221,Nizhnevartovsk,RU,2022-02-05 00:52:19,60.9344,76.5531,24.82,93,100,6.71,overcast clouds
222,Celestun,MX,2022-02-05 00:56:38,20.8667,-90.4,74.79,88,2,13.87,clear sky
223,Luanda,AO,2022-02-05 00:56:39,-8.8368,13.2343,75.2,88,20,6.91,few clouds
224,Husavik,IS,2022-02-05 00:56:39,66.0449,-17.3389,19.31,94,100,4.47,light snow
225,Berezovyy,RU,2022-02-05 00:56:39,51.6667,135.7,8.69,91,99,0.51,overcast clouds
226,Abeche,TD,2022-02-05 00:56:40,13.8292,20.8324,62.82,19,0,14.09,clear sky
227,Bahia De Caraquez,EC,2022-02-05 00:56:40,-0.6,-80.4167,78.98,83,18,6.24,few clouds
228,Aquiraz,BR,2022-02-05 00:56:41,-3.9014,-38.3911,82.49,81,75,8.86,broken clouds
229,Vodskov,DK,2022-02-05 00:56:41,57.1085,10.0222,37.85,85,40,5.99,scattered clouds
230,Mago,RU,2022-02-05 00:56:42,53.2514,140.1822,3.79,87,100,7.65,overcast clouds
231,Tobermory,CA,2022-02-05 00:56:42,45.2501,-81.6665,10.27,74,100,10.04,overcast clouds
232,Iskateley,RU,2022-02-05 00:56:42,67.6803,53.1512,-13.43,100,100,6.55,overcast clouds
233,Paka,MY,2022-02-05 00:56:43,4.6374,103.4368,80.53,83,20,9.22,few clouds
234,Hamilton,US,2022-02-05 00:52:10,39.1834,-84.5333,24.24,68,100,6.91,overcast clouds
235,Naze,JP,2022-02-05 00:55:27,28.3667,129.4833,56.32,62,97,15.55,overcast clouds
236,Coihaique,CL,2022-02-05 00:57:44,-45.5752,-72.0662,66.81,48,0,4.61,clear sky
237,Kaoma,ZM,2022-02-05 00:57:44,-14.7833,24.8,62.98,98,99,3.38,overcast clouds
238,Lensk,RU,2022-02-05 00:57:44,60.7253,114.9278,0.54,96,98,6.6,overcast clouds
239,Namibe,AO,2022-02-05 00:57:45,-15.1961,12.1522,71.11,71,14,6.62,few clouds
240,Broken Hill,AU,2022-02-05 00:57:46,-31.95,141.4333,74.91,38,72,18.41,broken clouds
241,Medea,DZ,2022-02-05 00:57:46,36.2642,2.7539,34.25,40,100,3.67,overcast clouds
242,Isla Vista,US,2022-02-05 00:57:46,34.4133,-119.861,67.35,35,0,6.35,clear sky
